                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7546,                 3.7024,                 1.1055,                 1.8258,                  5.034,                 1.0535,                      0,                      0,                      0,                      0,                  3.544,               9.67e+07,                  58545,                0.00097,             7.5789e+10,                   3568,               0.070652,              0.0032609,              0.0032609
                      2,                 1.4689,                 1.8422,                0.98489,                 1.7664,                 2.1327,                0.99497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00013,             3.0391e+06,                0.85261,                0.04063,              0.0065724,              0.0065724
                      3,                 1.3616,                 1.7164,                0.95777,                 1.6706,                 2.0291,                0.96445,                0.18827,                0.22416,                0.12895,                0.04648,                 1.8539,                 4.7897,                 1.1887,                 2.1169,                 9.0438,                 1.1974,               0.010587,               0.009862,               0.009862
                      4,                 1.2604,                 1.5706,                0.93966,                 1.6424,                 1.8678,                 0.9513,                0.31934,                0.41193,                0.26786,                 0.1476,                 1.2326,                 3.5362,                0.93364,                 1.4412,                   10.8,                0.96346,               0.009901,               0.009901,               0.009901
                      5,                  1.153,                 1.3335,                0.91195,                 1.4805,                 1.5471,                0.93482,                0.47464,                0.67251,                0.58643,                0.37923,                 1.0736,                 1.5421,                0.87998,                 1.2993,                 1.4566,                0.92389,               0.009901,               0.009901,               0.009901
                      6,                 1.1155,                 1.2681,                0.89331,                 1.4124,                 1.4432,                0.90816,                 0.5586,                0.00446,                0.03509,                0.02309,                 3.8343,                 7.3526,                 12.811,                 2.3634,                 6.7172,                  1.719,               0.009868,               0.009868,               0.009868
                      7,                  1.119,                 1.2053,                0.89506,                 1.4225,                 1.4045,                0.90275,                0.46238,                0.55944,                0.46152,                0.33102,                 1.5575,                 2.0806,                 1.2603,                 1.2067,                  2.706,                0.95973,               0.009835,               0.009835,               0.009835
                      8,                 1.0597,                  1.176,                0.88467,                 1.3537,                  1.383,                0.89553,                0.43775,                0.59185,                0.45132,                0.32228,                0.99466,                 2.3878,                0.87665,                 1.1004,                 1.9226,                0.88018,               0.009802,               0.009802,               0.009802
                      9,                 1.0263,                 1.0801,                0.88179,                 1.3164,                 1.2425,                0.89715,                0.47105,                0.57703,                0.52252,                 0.3816,                 1.2658,                  1.815,                 1.6734,                 1.2534,                 2.2211,                 1.1327,               0.009769,               0.009769,               0.009769
                     10,                 1.0086,                 1.0629,                0.87767,                 1.2764,                 1.2354,                0.89175,                0.35021,                0.46521,                0.36102,                0.26615,                 1.4098,                 2.3531,                 1.6068,                 1.2424,                 2.8918,                 1.1098,               0.009736,               0.009736,               0.009736
                     11,                0.97157,                 1.0239,                0.87161,                 1.2841,                 1.2026,                0.88597,                0.39295,                0.74273,                0.56794,                0.40151,                0.89619,                  1.939,                0.85634,                 1.0812,                 2.6464,                0.87726,               0.009703,               0.009703,               0.009703
                     12,                0.96846,                0.98378,                0.86303,                 1.2642,                 1.1448,                0.87741,                 0.5523,                0.64426,                0.62869,                0.45628,                0.88914,                 1.5809,                0.84945,                 1.0473,                 1.6296,                 0.8722,                0.00967,                0.00967,                0.00967
                     13,                0.97024,                0.95013,                0.86821,                 1.2452,                 1.0978,                  0.879,                0.51066,                0.48094,                0.50662,                 0.3884,                0.83881,                 1.7442,                0.83755,                0.98714,                 2.6108,                0.86537,               0.009637,               0.009637,               0.009637
                     14,                0.96583,                0.98327,                0.86724,                 1.2605,                 1.1543,                0.88126,                 0.6169,                0.77369,                0.72073,                0.53934,                0.80369,                 1.0134,                0.83235,                0.95601,                  1.021,                0.85761,               0.009604,               0.009604,               0.009604
                     15,                0.94986,                0.91194,                0.86297,                 1.2084,                 1.0488,                0.87143,                0.64017,                0.64867,                0.73197,                0.55489,                0.79291,                 1.2985,                0.82775,                0.96673,                 2.0461,                0.86934,               0.009571,               0.009571,               0.009571
                     16,                0.93697,                0.94199,                0.85883,                 1.1732,                 1.0574,                0.86475,                0.41645,                0.35749,                  0.325,                0.24751,                0.87339,                 2.4677,                  0.862,                 1.0484,                 2.7394,                0.92386,               0.009538,               0.009538,               0.009538
                     17,                 0.9246,                0.90637,                0.86394,                 1.1771,                 1.0079,                 0.8726,                0.58882,                0.72487,                0.77037,                0.59797,                0.77325,                 1.0219,                0.82963,                 0.8658,                 1.2255,                0.84456,               0.009505,               0.009505,               0.009505
